abstract,arxiv,authors,citations,citations_primary,citations_source,doi,group,match_score,n_authors,oa,oa_citations,oa_records,oa_records_citation_sum,openalex,pdf,referenced_works,resolved,s2_citations,s2_influential,s2_types,s2_url,s2_venue,s2_year,section,seed_title,short,supervision,task,title,url,venue,venue_type,year,zs_claim
"Vision-and-language navigation (VLN) stands as a key research problem of Embodied AI, aiming at enabling agents to navigate in unseen environments following linguistic instructions. In this field, generalization is a long-standing challenge, either to out-of-distribution scenes or from Sim to Real. In this paper, we propose NaVid, a video-based large vision language model (VLM), to mitigate such a generalization gap. NaVid makes the first endeavor to showcase the capability of VLMs to achieve state-of-the-art level navigation performance without any maps, odometers, or depth inputs. Following human instruction, NaVid only requires an on-the-fly video stream from a monocular RGB camera equipp",2402.15852,Jiazhao Zhang; Kunyu Wang; Rongtao Xu et al.,79,294,Semantic Scholar,10.15607/rss.2024.xx.079,E,1.0,9,False,79,2,81,https://openalex.org/W4402353981,,0,True,294,38,JournalArticle,https://www.semanticscholar.org/paper/12693672913f00a32b31fe68a3d0d3d4c40cc352,Robotics: Science and Systems Conference,2024,8.3,NaVid: Video-based VLM Plans the Next Step for Vision-and-Language Navigation,NaVid,pretrain-finetune,VLN-CE,NaVid: Video-based VLM Plans the Next Step for Vision-and-Language Navigation,https://doi.org/10.15607/rss.2024.xx.079,Robotics: Science and Systems Conference,conference-paper,2024,-
"This paper proposes to solve the problem of Vision-and-Language Navigation with legged robots, which not only provides a flexible way for humans to command but also allows the robot to navigate through more challenging and cluttered scenes. However, it is non-trivial to translate human language instructions all the way to low-level leg joint actions. We propose NaVILA, a 2-level framework that unifies a Vision-Language-Action model (VLA) with locomotion skills. Instead of directly predicting low-level actions from VLA, NaVILA first generates mid-level actions with spatial information in the form of language, (e.g.,""moving forward 75cm""), which serves as an input for a visual locomotion RL po",2412.04453,An‐Chieh Cheng; Yandong Ji; Zhaojing Yang et al.,36,263,Semantic Scholar,10.15607/rss.2025.xxi.018,E,1.0,10,True,36,2,38,https://openalex.org/W4414050442,https://doi.org/10.15607/rss.2025.xxi.018,0,True,263,40,JournalArticle,https://www.semanticscholar.org/paper/881370b510c86a86b20daae26074db050e7c017b,Robotics,2024,8.3,NaVILA: Legged Robot Vision-Language-Action Model for Navigation,NaVILA,pretrain-finetune,legged nav,NaVILA: Legged Robot Vision-Language-Action Model for Navigation,https://doi.org/10.15607/rss.2025.xxi.018,Robotics,conference-paper,2025,ZS-5
"A practical navigation agent must be capable of handling a wide range of interaction demands, such as following instructions, searching objects, answering questions, tracking people, and more. Existing models for embodied navigation fall short of serving as practical generalists in the real world, as they are often constrained by specific task configurations or pre-defined maps with discretized waypoints. In this work, we present Uni-NaVid, the first video-based vision-language-action (VLA) model designed to unify diverse embodied navigation tasks and enable seamless navigation for mixed long-horizon tasks in unseen real-world environments. Uni-NaVid achieves this by harmonizing the input an",2412.06224,Jiazhao Zhang; Kunyu Wang; Shaoan Wang et al.,24,182,Semantic Scholar,10.15607/rss.2025.xxi.013,E,1.0,9,True,24,2,26,https://openalex.org/W4414050622,https://doi.org/10.15607/rss.2025.xxi.013,0,True,182,28,JournalArticle,https://www.semanticscholar.org/paper/532b2c9cce4bb707be5595d2e2df8828889b572d,arXiv.org,2024,8.3,Uni-NaVid: A Video-based Vision-Language-Action Model for Unifying Embodied Navigation Tasks,Uni-NaVid,pretrain-finetune,multi,Uni-NaVid: A Video-based Vision-Language-Action Model for Unifying Embodied Navigation Tasks,https://doi.org/10.15607/rss.2025.xxi.013,Robotics,conference-paper,2025,-
"A robot that can carry out a natural-language instruction has been a dream since before the Jetsons cartoon series imagined a life of leisure mediated by a fleet of attentive robot helpers. It is a dream that remains stubbornly distant. However, recent advances in vision and language methods have made incredible progress in closely related areas. This is significant because a robot interpreting a natural-language navigation instruction on the basis of what it sees is carrying out a vision and language process that is similar to Visual Question Answering. Both tasks can be interpreted as visually grounded sequence-to-sequence translation problems, and many of the same methods are applicable. ",1711.07280,Peter Anderson; Qi Wu; Damien Teney et al.,61,1922,Semantic Scholar,10.1109/cvpr.2018.00387,E,1.0,9,True,61,2,63,https://openalex.org/W2770387316,,91,True,1922,425,"JournalArticle,Conference",https://www.semanticscholar.org/paper/c37c23b12e00168833eccff8025a830ce27c5abc,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,2017,2.4,Vision-and-Language Navigation: Interpreting visually-grounded navigation instructions in real environments,R2R,supervised,R2R,Vision-and-Language Navigation: Interpreting Visually-Grounded Navigation Instructions in Real Environments,https://doi.org/10.1109/cvpr.2018.00387,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference-paper,2018,-
"Accuracy of many visiolinguistic tasks has benefited significantly from the application of vision-and-language (V&L) BERT. However, its application for the task of vision-and-language navigation (VLN) remains limited. One reason for this is the difficulty adapting the BERT architecture to the partially observable Markov decision process present in VLN, requiring history-dependent attention and decision making. In this paper we propose a recurrent BERT model that is time-aware for use in VLN. Specifically, we equip the BERT model with a recurrent function that maintains cross-modal state information for the agent. Through extensive experiments on R2R and REVERIE we demonstrate that our model ",2011.13922,Yicong Hong; Qi Wu; Yuankai Qi et al.,240,478,Semantic Scholar,10.1109/cvpr46437.2021.00169,E,0.889,5,False,240,2,280,https://openalex.org/W3172675210,,97,True,478,63,"JournalArticle,Conference",https://www.semanticscholar.org/paper/604e0c54580a0530392f86b48a6183581a47b66d,Computer Vision and Pattern Recognition,2020,8.2,A Recurrent Vision-and-Language BERT for Navigation,Rec-VLN-BERT,pretrain-finetune,R2R,VLN↻BERT: A Recurrent Vision-and-Language BERT for Navigation,https://doi.org/10.1109/cvpr46437.2021.00169,Computer Vision and Pattern Recognition,conference-paper,2021,-
"Vision-and-language navigation (VLN) aims to build autonomous visual agents that follow instructions and navigate in real scenes. To remember previously visited locations and actions taken, most approaches to VLN implement memory using recurrent states. Instead, we introduce a History Aware Multimodal Transformer (HAMT) to incorporate a long-horizon history into multimodal decision making. HAMT efficiently encodes all the past panoramic observations via a hierarchical vision transformer (ViT), which first encodes individual images with ViT, then models spatial relation between images in a panoramic observation and finally takes into account temporal relation between panoramas in the history.",2110.13309,"Shizhe Chen; Pierre-Louis Guhur; Schmid, Cordelia et al.",21,409,Semantic Scholar,10.48550/arxiv.2110.13309,E,1.0,4,True,21,1,21,https://openalex.org/W3208883793,https://arxiv.org/pdf/2110.13309,0,True,409,74,JournalArticle,https://www.semanticscholar.org/paper/6f681faaa985ed38bc9b30777d57d9e1e3765861,Neural Information Processing Systems,2021,8.2,History Aware Multimodal Transformer for Vision-and-Language Navigation,HAMT,pretrain-finetune,R2R,History Aware Multimodal Transformer for Vision-and-Language Navigation,http://arxiv.org/abs/2110.13309,arXiv (Cornell University),preprint,2021,-
"Following language instructions to navigate in unseenaenvironments is a challenging problem for autonomous embodied agents. The agent not only needs to ground languages in visual scenes, but also should explore the environment to reach its target. In this work, we propose a dual-scale graph transformer (DUET) for joint long-term action planning and fine-grained cross-modal understanding. We build a topological map on-the-fly to enable efficient exploration in global action space. To balance the complexity of large action space reasoning and fine-grained language grounding, we dynamically combine a fine-scale encoding over local observations and a coarse-scale encoding on a global map via gra",2202.11742,Shizhe Chen; Pierre-Louis Guhur; Makarand Tapaswi et al.,172,298,Semantic Scholar,10.1109/cvpr52688.2022.01604,E,1.0,5,True,172,1,172,https://openalex.org/W4226052928,,83,True,298,88,"JournalArticle,Conference",https://www.semanticscholar.org/paper/0f01088765729402e903ec560f3246f884d324f8,Computer Vision and Pattern Recognition,2022,8.2,"Think Global, Act Local: Dual-scale Graph Transformer for Vision-and-Language Navigation",DUET,pretrain-finetune,REVERIE,"Think Global, Act Local: Dual-scale Graph Transformer for Vision-and-Language Navigation",https://doi.org/10.1109/cvpr52688.2022.01604,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),conference-paper,2022,-
"We present the Habitat-Matterport 3D Open Vocabulary Object Goal Navigation dataset (HM3D-OVON), a large-scale benchmark that broadens the scope and semantic range of prior Object Goal Navigation (ObjectNav) benchmarks. Leveraging the HM3DSem dataset, HM3D-OVON incorporates over 15k annotated instances of household objects across 379 distinct categories, derived from photo-realistic 3D scans of real-world environments. In contrast to earlier ObjectNav datasets, which limit goal objects to a predefined set of 6-21 categories, HM3D-OVON facilitates the training and evaluation of models with an open-set of goals defined through free-form language at test-time. Through this open-vocabulary formu",2409.14296,Naoki Yokoyama; Ram Ramrakhya; Abhishek Das et al.,17,108,Semantic Scholar,10.1109/iros58592.2024.10802709,F,1.0,5,False,17,2,17,https://openalex.org/W4405785171,,38,True,108,23,"JournalArticle,Conference",https://www.semanticscholar.org/paper/db8e84a4406ea3ccbf4e2042dcd767b0deb8789d,IEEE/RJS International Conference on Intelligent RObots and Systems,2024,5.6,HM3D-OVON: A Dataset and Benchmark for Open-Vocabulary Object Goal Navigation,HM3D-OVON,benchmark,ObjectNav,HM3D-OVON: A Dataset and Benchmark for Open-Vocabulary Object Goal Navigation,https://doi.org/10.1109/iros58592.2024.10802709,IEEE/RJS International Conference on Intelligent RObots and Systems,conference-paper,2024,ZS-2
"The Embodied AI community has made significant strides in visual navigation tasks, exploring targets from 3D coordinates, objects, language descriptions, and images. However, these navigation models often handle only a single input modality as the target. With the progress achieved so for, it is time to move towards universal navigation models capable of handling various goal types, enabling more effective user interaction with robots. To facilitate this goal, we propose GOAT-Bench, a benchmark for the universal navigation task referred to as GO to AnyThing (GOAT). In this task, the agent is directed to navigate to a sequence of targets specified by the category name, language description, o",2404.06609,Mukul Khanna; Ram Ramrakhya; Gunjan Chhablani et al.,12,130,Semantic Scholar,10.1109/cvpr52733.2024.01549,F,1.0,10,False,12,2,12,https://openalex.org/W4402726789,,80,True,130,33,"JournalArticle,Conference",https://www.semanticscholar.org/paper/a1cfddfd2fbd16a7aa62ebbded3674036e014731,Computer Vision and Pattern Recognition,2024,5.6,GOAT-Bench: A Benchmark for Multi-Modal Lifelong Navigation,GOAT-Bench,benchmark,multi-goal,GOAT-Bench: A Benchmark for Multi-Modal Lifelong Navigation,https://doi.org/10.1109/cvpr52733.2024.01549,Computer Vision and Pattern Recognition,conference-paper,2024,ZS-2
"We develop a language-guided navigation task set in a continuous 3D environment where agents must execute low-level actions to follow natural language navigation directions. By being situated in continuous environments, this setting lifts a number of assumptions implicit in prior work that represents environments as a sparse graph of panoramas with edges corresponding to navigability. Specifically, our setting drops the presumptions of known environment topologies, short-range oracle navigation, and perfect agent localization. To contextualize this new task, we develop models that mirror many of the advances made in prior settings as well as single-modality baselines. While some of these tec",2004.02857,Jacob Krantz; Erik Wijmans; Arjun Majumdar et al.,26,622,Semantic Scholar,10.1007/978-3-030-58604-1_7,F,1.0,5,True,26,2,26,https://openalex.org/W3014266552,,33,True,622,134,"JournalArticle,Conference",https://www.semanticscholar.org/paper/c2496cead9423897cd37be77ddd6cf2f5d03f1c8,European Conference on Computer Vision,2020,5.6,Beyond the Nav-Graph: Vision-and-Language Navigation in Continuous Environments,VLN-CE,benchmark,VLN-CE,Beyond the Nav-Graph: Vision-and-Language Navigation in Continuous Environments,https://doi.org/10.1007/978-3-030-58604-1_7,Lecture notes in computer science,conference-paper,2020,-
